,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1810,2:31:10,Aleksandra LISOWSKA,POL,"Stade de France, Paris (FRA)",11 AUG 2024,1121,Full
1811,2:31:10,Hayat BENHIMA,MAR,"Luzhniki Stadion, Moskva (RUS)",13 OCT 2024,1121,Full
1812,2:31:14,Irvette VAN ZYL,RSA,"Stade de France, Paris (FRA)",11 AUG 2024,1120,Full
1813,2:31:17,Jane BAREIKIS,USA,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1120,Full
1814,2:31:18,Hanna LINDHOLM,SWE,Sevilla (ESP),18 FEB 2024,1120,Full
1815,2:31:19,Laura HOTTENROTT,GER,"Stade de France, Paris (FRA)",11 AUG 2024,1120,Full
1816,2:31:21,Clara SIMAL,ESP,Sevilla (ESP),18 FEB 2024,1119,Full
1817,2:31:24,Bizuager ADERRA,ETH,Castellón (ESP),25 FEB 2024,1119,Full
1818,2:31:24,Olga NYZHNYK,UKR,Warszawa (POL),29 SEP 2024,1119,Full
1819,2:31:25,Anna BAŃKOWSKA,POL,Sevilla (ESP),18 FEB 2024,1119,Full
1820,2:31:25,Julia MAYER,AUT,Wien (AUT),21 APR 2024,1119,Full
1821,2:31:26,Clémence CALVIN,FRA,Barcelona (ESP),10 MAR 2024,1119,Full
1822,2:31:27,Luiza DMITRIYEVA,RUS,"Luzhniki Stadion, Moskva (RUS)",13 OCT 2024,1118,Full
1823,2:31:27,Gladys JEMAIYO,KEN,Dublin (IRL),27 OCT 2024,1118,Full
1824,2:31:29,Tigist GETNET,ETH,Doha (QAT),16 FEB 2024,1118,Full
1825,2:31:29,Katherine TISALEMA PURUNCAJA,ECU,Sevilla (ESP),18 FEB 2024,1118,Full
1826,2:31:32,Aurelia Jerotich KIPTUI,KEN,Barcelona (ESP),10 MAR 2024,1118,Full
1827,2:31:38,Ayumi MORITA,JPN,Tokyo (JPN),03 MAR 2024,1117,Full
1828,2:31:40,Celestine KWACHUWAI,KEN,Poznan (POL),13 OCT 2024,1116,Full
1829,2:31:42,Aynalem KASSAHUN,ETH,Genève (SUI),05 MAY 2024,1116,Full
1830,2:31:45,Miku HIRASHIMA,JPN,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1115,Full
1831,2:31:47,Lenah JEROTICH,KEN,Padova (ITA),21 APR 2024,1115,Full
1832,2:31:48,Euliter TANUI,KEN,Tallinn (EST),08 SEP 2024,1115,Full
1833,2:31:49,Almenesh HERPA,ETH,Cape Town (RSA),20 OCT 2024,1115,Full
1834,2:31:50,Elena HAYDAY,USA,"Two Harbors to Duluth,, Duluth, MN (USA)",22 JUN 2024,1115,Full
1835,2:31:52,Kaena TAKEYAMA,JPN,Nagoya (JPN),10 MAR 2024,1114,Full
1836,2:31:53,Yingcui LI,CHN,Wuxi (CHN),24 MAR 2024,1114,Full
1837,2:31:54,Yeneabeba EIGU,ETH,Wuhan (CHN),24 MAR 2024,1114,Full
1838,2:31:58,Caroline JEPKEMEI,KEN,Padova (ITA),21 APR 2024,1113,Full
1839,2:31:58,Magdalena SHAURI,TAN,"Stade de France, Paris (FRA)",11 AUG 2024,1113,Full
1840,2:32:00,Emilie JACQUOT-CLAUDE,FRA,Berlin (GER),29 SEP 2024,1113,Full
1841,2:32:01,Betty JEPLETING,KEN,Aveiro (POR),28 APR 2024,1113,Full
1842,2:32:03,Militsa MIRCHEVA,BUL,Osaka (JPN),28 JAN 2024,1113,Full
1843,2:32:04,Yeshi Kalayu CHEKOLE,ETH,Lanzhou (CHN),26 MAY 2024,1112,Full
1844,2:32:06,Nanami AOKI,JPN,Osaka (JPN),28 JAN 2024,1112,Full
1845,2:32:07,Elizeba CHERONO,NED,Enschede (NED),21 APR 2024,1112,Full
1846,2:32:11,Sheila Jepkosgei CHESANG,KEN,Buri Ram (THA),27 JAN 2024,1111,Full
1847,2:32:11,Honoka TANAIKE,JPN,Nagoya (JPN),10 MAR 2024,1111,Full
1848,2:32:14,Hanne Mjøen MARIDAL,NOR,Wien (AUT),21 APR 2024,1111,Full
1849,2:32:14,Rebecca CHEPTEGEI,UGA,"Stade de France, Paris (FRA)",11 AUG 2024,1111,Full
1850,2:32:16,Maya WEIGEL,USA,"Orlando, FL (USA)",03 FEB 2024,1110,Full
1851,2:32:18,Deysi CASTRO,PER,Lima (PER),19 MAY 2024,1110,Full
1852,2:32:19,Maeregu HAYELOM,ETH,Ottawa (CAN),26 MAY 2024,1110,Full
1853,2:32:22,Tara PALM,AUS,Berlin (GER),29 SEP 2024,1109,Full
1854,2:32:23,Joana Vanessa CARVALHO,POR,Aveiro (POR),28 APR 2024,1109,Full
1855,2:32:24,Leah JERUTO,KEN,Zheng-Kai (CHN),31 MAR 2024,1109,Full
1856,2:32:25,Rebecca JERUTO,KEN,Münster (GER),08 SEP 2024,1109,Full
1857,2:32:26,Ayano IKEUCHI,JPN,Seoul (KOR),17 MAR 2024,1109,Full
1858,2:32:27,Ni SHEN,CHN,Hengshui (CHN),22 SEP 2024,1109,Full
1859,2:32:32,Magaly GARCIA,VEN,Rotterdam (NED),14 APR 2024,1108,Full
1860,2:32:35,Nataliya LEHONKOVA,UKR,Enschede (NED),21 APR 2024,1107,Full
1861,2:32:40,Adela HONORATO,MEX,Sevilla (ESP),18 FEB 2024,1106,Full
1862,2:32:40,Heather SEAWARD,GBR,Sevilla (ESP),18 FEB 2024,1106,Full
1863,2:32:40,Birkutan ABERA,ETH,Venezia (ITA),27 OCT 2024,1106,Full
1864,2:32:42,Izabela PASZKIEWICZ,POL,Warszawa (POL),29 SEP 2024,1106,Full
1865,2:32:45,Birhan MULUGOJAM,ETH,Mumbai (IND),21 JAN 2024,1106,Full
1866,2:32:51,Gerda STEYN,RSA,"Stade de France, Paris (FRA)",11 AUG 2024,1105,Full
1867,2:32:52,Alemtsehay ASEFA,ETH,Riyadh (KSA),10 FEB 2024,1105,Full
1868,2:32:59,Tigist BIKILA,ETH,Milano (ITA),07 APR 2024,1103,Full
1869,2:33:01,Cavaline NAHIMANA,BDI,Roma (ITA),17 MAR 2024,1103,Full
1870,2:33:01,Clara EVANS,GBR,"Stade de France, Paris (FRA)",11 AUG 2024,1103,Full
1871,2:33:02,Jessica WATYCHOWICZ,USA,"St. Paul, Minneapolis, MN (USA)",06 OCT 2024,1103,Full
1872,2:33:05,Adanech MEKONNEN,ETH,Padova (ITA),21 APR 2024,1102,Full
1873,2:33:06,Truphena CHEPCHIRCHIR,KEN,Hong Kong (HKG),21 JAN 2024,1102,Full
1874,2:33:07,Abebech AFEWORK,ETH,Wuhan (CHN),24 MAR 2024,1102,Full
1875,2:33:10,Marcella HERZOG,NED,Rotterdam (NED),14 APR 2024,1102,Full
1876,2:33:12,Margaretha MONTOYA,USA,"Orlando, FL (USA)",03 FEB 2024,1101,Full
1877,2:33:19,Jila DAWA,CHN,Hengshui (CHN),22 SEP 2024,1100,Full
1878,2:33:22,Sheila CHEPKECH,KEN,Buri Ram (THA),27 JAN 2024,1100,Full
1879,2:33:22,Jhoselyn CAMARGO,BOL,Sevilla (ESP),18 FEB 2024,1100,Full
1880,2:33:23,Lisa HUWATSCHECK,GER,Berlin (GER),29 SEP 2024,1100,Full
