,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
0,1:54.61,Keely HODGKINSON,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1261,800m,27359488,26,1,Private
1,1:55.61,Jemma REEKIE,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1242,800m,NA,NA,NA,NA
2,1:56.28,Georgia BELL,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1230,800m,25124025,751,80,Public
3,1:56.56,Mary MORAA,KEN,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1225,800m,131393985,0,0,Public
4,1:56.83,Natoya GOULE-TOPPIN,JAM,"Olympic Stadium, London (GBR)",20 JUL 2024,1220,800m,NA,NA,NA,NA
5,1:56.83,Addison WILEY,USA,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1220,800m,NA,NA,NA,NA
6,1:57.00,Nelly CHEPCHIRCHIR,KEN,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1217,800m,NA,NA,NA,NA
7,1:57.06,Rénelle LAMOTE,FRA,"Olympic Stadium, London (GBR)",20 JUL 2024,1215,800m,142578196,0,0,Public
8,1:57.12,Susan Lokayo EJORE,KEN,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1214,800m,NA,NA,NA,NA
9,1:57.15,Tsige DUGUMA,ETH,"Stade de France, Paris (FRA)",05 AUG 2024,1214,800m,NA,NA,NA,NA
10,1:57.26,Prudence SEKGODISO,RSA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1212,800m,111371365,0,0,Public
11,1:57.26,Halimah NAKAAYI,UGA,"Olympic Stadium, London (GBR)",20 JUL 2024,1212,800m,NA,NA,NA,NA
12,1:57.36,Nia AKINS,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1210,800m,49163846,0,0,Public
13,1:57.47,Nigist GETACHEW,ETH,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1208,800m,NA,NA,NA,NA
14,1:57.52,Allie WILSON,USA,"Olympic Stadium, London (GBR)",20 JUL 2024,1207,800m,112847410,80,0,Public
15,1:57.53,Sage HURTA-KLECKER,USA,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1207,800m,59215429,2505,56,Public
16,1:57.59,Shafiqua MALONEY,VIN,"Stade de France, Paris (FRA)",04 AUG 2024,1206,800m,NA,NA,NA,NA
17,1:57.63,Laura MUIR,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1205,800m,11759278,1528,105,Private
18,1:57.69,Nelly JEPKOSGEI,BRN,"Moselstadion, Trier (GER)",06 SEP 2024,1204,800m,NA,NA,NA,NA
19,1:57.70,Habitam ALEMU,ETH,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1204,800m,NA,NA,NA,NA
20,1:57.76,Juliette WHITTAKER,USA,"Stade de France, Paris (FRA)",04 AUG 2024,1203,800m,56548523,850,3,Public
21,1:57.76,Audrey WERRO,SUI,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1203,800m,NA,NA,NA,NA
22,1:57.86,Phoebe GILL,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1201,800m,129884060,42,0,Private
23,1:57.87,Emily MACKAY,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1201,800m,58424776,120,16,Public
24,1:58.06,Worknesh MESELE,ETH,"Stade de France, Paris (FRA)",04 AUG 2024,1197,800m,NA,NA,NA,NA
25,1:58.12,Catriona BISSET,AUS,"Olympic Stadium, London (GBR)",20 JUL 2024,1196,800m,102587494,108,26,Private
26,1:58.19,Dorcas EWOI,KEN,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1195,800m,NA,NA,NA,NA
27,1:58.20,Jazz SHUKLA,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",29 JUN 2024,1195,800m,19464085,821,28,Private
28,1:58.22,Gabriela GAJANOVÁ,SVK,"Stade de France, Paris (FRA)",04 AUG 2024,1194,800m,NA,NA,NA,NA
29,1:58.26,Vivian Chebet KIPROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1194,800m,NA,NA,NA,NA
30,1:58.37,Michaela ROSE,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1192,800m,52999968,308,8,Private
31,1:58.39,Daily COOPER GASPAR,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1191,800m,NA,NA,NA,NA
32,1:58.40,Claudia HOLLINGSWORTH,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1191,800m,NA,NA,NA,NA
33,1:58.47,Anaïs BOURGOIN,FRA,"Stade de France, Paris (FRA)",02 AUG 2024,1190,800m,39014349,1605,1,Private
34,1:58.49,Abbey CALDWELL,AUS,"Stade de France, Paris (FRA)",02 AUG 2024,1189,800m,12159692,0,0,Private
35,1:58.51,Ciara MAGEEAN,IRL,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1189,800m,20980642,0,0,Public
36,1:58.52,Majtie KOLBERG,GER,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m,69641018,58,0,Private
37,1:58.53,Lilian ODIRA,KEN,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m,NA,NA,NA,NA
38,1:58.56,Bendere OBOYA,AUS,"LAZ Wien, Wien (AUT)",22 JUN 2024,1188,800m,NA,NA,NA,NA
39,1:58.60,Rachel PELLAUD,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1187,800m,24352090,231,7,Private
40,1:58.69,Valentina ROSAMILIA,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1186,800m,85814041,729,7,Private
41,1:58.70,Noélie YARIGO,BEN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1186,800m,26691913,371,0,Private
42,1:58.73,Rose Mary ALMANZA,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1185,800m,NA,NA,NA,NA
43,1:58.75,Katie SNOWDEN,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1185,800m,10739257,78,18,Private
44,1:58.77,Heather MACLEAN,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1184,800m,91399368,9,3,Public
45,1:58.84,Athing MU,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1183,800m,NA,NA,NA,NA
46,1:58.89,Elena BELLÒ,ITA,"Olympic Stadium, London (GBR)",20 JUL 2024,1182,800m,16528958,1815,60,Public
47,1:58.94,Sarah BILLINGS,AUS,"Moselstadion, Trier (GER)",06 SEP 2024,1181,800m,42578650,1262,103,Public
48,1:58.95,Olivia BAKER,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1181,800m,89673875,216,0,Public
49,1:58.97,Kate GRACE,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1181,800m,6448444,378,9,Public
50,1:59.07,Anna WIELGOSZ,POL,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1179,800m,141051221,0,0,Public
51,1:59.07,Eloisa COIRO,ITA,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1179,800m,NA,NA,NA,NA
52,1:59.18,Gabija GALVYDYTĖ,LTU,"Stade de France, Paris (FRA)",02 AUG 2024,1177,800m,74276700,0,0,Public
53,1:59.19,Naomi KORIR,KEN,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1177,800m,NA,NA,NA,NA
54,1:59.19,Erin WALLACE,GBR,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1177,800m,72596918,571,388,Private
55,1:59.26,Lore HOFFMANN,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1175,800m,110793714,729,36,Public
56,1:59.29,Sanu JALLOW,USA,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1175,800m,NA,NA,NA,NA
57,1:59.30,Hannah SEGRAVE,GBR,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1175,800m,34218042,502,4,Private
58,1:59.39,Sarah MORAA,KEN,"Nyayo National Stadium, Nairobi (KEN)",14 JUN 2024,1173,800m,139276707,0,0,Public
59,1:59.42,Nikki HILTZ,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1173,800m,57098840,598,1,Public
60,1:59.50,Rachel GEARING,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1171,800m,131305537,4,0,Public
61,1:59.55,Alexandra BELL,GBR,"Stade Omnisports Schlossberg, Forbach (FRA)",26 MAY 2024,1170,800m,25991902,646,6,Private
62,1:59.59,Eveliina MÄÄTTÄNEN,FIN,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1170,800m,NA,NA,NA,NA
63,1:59.63,Angelika SARNA,POL,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1169,800m,NA,NA,NA,NA
64,1:59.69,Oratile NOWE,BOT,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1168,800m,NA,NA,NA,NA
65,1:59.69,Revee WALCOTT-NOLAN,GBR,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1168,800m,NA,NA,NA,NA
66,1:59.70,Léna KANDISSOUNON,FRA,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1168,800m,38957808,370,24,Private
67,1:59.72,Linden HALL,AUS,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1167,800m,NA,NA,NA,NA
68,1:59.80,Lorea IBARZABAL,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1166,800m,26378553,0,0,Public
69,1:59.81,Gladys CHEPNGETICH,KEN,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1166,800m,120754520,315,1,Public
70,1:59.82,McKenna KEEGAN,USA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1165,800m,26482842,0,29,Public
71,1:59.89,Georgia GRIFFITH,AUS,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1164,800m,26275743,638,64,Public
72,1:59.93,Charlotte PIZZO,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",29 JUN 2024,1163,800m,145126923,141,4,Private
73,1:59.94,Dilek KOÇAK,TUR,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1163,800m,60845172,0,0,Public
74,1:59.95,Sinclaire JOHNSON,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1163,800m,32583114,164,1,Public
75,1:59.96,Samantha WATSON,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1163,800m,104994075,267,1,Private
76,1:59.97,Helen SCHLACHTENHAUFEN,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1163,800m,NA,NA,NA,NA
77,1:59.99,Jessica HULL,AUS,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1162,800m,56768839,275,3,Public
78,2:00.02,Carley THOMAS,AUS,"Athletics Stadium, Setagaya, Tokyo (JPN)",27 JUL 2024,1162,800m,138734873,199,1,Private
79,2:00.11,Soukaina HAJJI,MAR,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1160,800m,76455664,0,0,Public
80,2:00.13,Charline MATHIAS,LUX,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1160,800m,47970235,21,6,Private
81,2:00.16,Ellie BAKER,GBR,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1159,800m,51932246,1710,31,Public
82,2:00.16,Clara LIBERMAN,FRA,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",04 JUL 2024,1159,800m,49253839,1812,58,Private
83,2:00.17,Roisin WILLIS,USA,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1159,800m,55378545,5,0,Public
84,2:00.21,Tigist GIRMA,ETH,"Atletska dvorana, Beograd (SRB) (i)",13 FEB 2024,1182,800m,26785227,0,0,Public
85,2:00.23,Klaudia KAZIMIERSKA,POL,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1158,800m,NA,NA,NA,NA
86,2:00.26,Annemarie NISSEN,DEN,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1158,800m,125720171,440,1,Public
87,2:00.27,Isabelle BOFFEY,GBR,"Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2024,1181,800m,NA,NA,NA,NA
88,2:00.28,Sophie O'SULLIVAN,IRL,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1157,800m,10444014,2086,87,Public
89,2:00.32,Anita HORVAT,SLO,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1157,800m,36882848,486,1,Public
90,2:00.33,Lorena MARTÍN,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1156,800m,13587102,2,727,Private
91,2:00.33,Sara LAPPALAINEN,FIN,"Kaarlen kenttä, Vaasa (FIN)",30 JUN 2024,1156,800m,109436697,68,59,Public
92,2:00.34,Charne SWART,RSA,"Pilditch Stadium, Pretoria (RSA)",15 JUN 2024,1156,800m,60438490,833,1,Private
93,2:00.43,Daniela GARCÍA,ESP,"Estadi Joan Serrahima, Barcelona (ESP)",19 MAY 2024,1155,800m,47560866,4,1124,Public
94,2:00.50,Lucia STAFFORD,CAN,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1153,800m,111486981,0,0,Private
95,2:00.53,Anna CAMP BENNETT,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1153,800m,NA,NA,NA,NA
96,2:00.54,Teagan SCHEIN-BECKER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1153,800m,NA,NA,NA,NA
97,2:00.59,Christina HERING,GER,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1152,800m,17112359,4,0,Public
98,2:00.61,Emily RICHARDS,USA,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1151,800m,57585194,941,4,Public
99,2:00.64,Kristie SCHOFFIELD,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1151,800m,141728347,0,0,Public
100,2:00.65,Sophia GORRIARAN,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1151,800m,NA,NA,NA,NA
101,2:00.66,Aurora RYNDA,CAN,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1150,800m,NA,NA,NA,NA
102,2:00.68,Kimberley FICENEC,CZE,"Stadion Mládeže, Zlín (CZE)",30 JUN 2024,1150,800m,85129609,2,0,Public
103,2:00.70,Kelly-Ann BECKFORD,JAM,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1150,800m,NA,NA,NA,NA
104,2:00.70,Hayley KITCHING,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1150,800m,46801273,745,65,Public
105,2:00.73,Flavia Maria DE LIMA,BRA,"Stade de France, Paris (FRA)",02 AUG 2024,1149,800m,58450122,0,6,Public
106,2:00.75,Meghan HUNTER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1149,800m,187232,41,443,Public
107,2:00.80,Aniya MOSLEY,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1148,800m,121699309,804,1,Private
108,2:00.81,Rin KUBO,JPN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1148,800m,46738412,67,21,Public
109,2:00.84,Berdine CASTILLO,CHI,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1147,800m,71950153,10,0,Private
110,2:00.86,Sarah HEALY,IRL,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1147,800m,26914590,462,21,Public
111,2:00.86,Wilma NIELSEN,SWE,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1147,800m,77307821,596,6,Private
112,2:00.87,Sadi HENDERSON,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1147,800m,35522852,229,0,Public
113,2:00.89,Agnès RAHAROLAHY,FRA,"Stade Jean Jacoby, Schifflange (LUX)",21 JUL 2024,1146,800m,NA,NA,NA,NA
114,2:00.92,Victoria BOSSONG,USA,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1146,800m,NA,NA,NA,NA
115,2:00.92,Louise SHANAHAN,IRL,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1146,800m,46343008,526,60,Private
116,2:00.93,Madeleine KELLY,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1170,800m,23741845,132,0,Public
117,2:00.96,Ajee' WILSON,USA,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1145,800m,NA,NA,NA,NA
118,2:00.97,Makayla PAIGE,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1145,800m,143702303,0,0,Private
119,2:00.98,Gesa Felicitas KRAUSE,GER,"Moselstadion, Trier (GER)",06 SEP 2024,1145,800m,NA,NA,NA,NA
120,2:00.99,Julia NIELSEN,SWE,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1145,800m,76479533,822,16,Private
121,2:01.00,Gabrielle JENNINGS,USA,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1144,800m,33154525,0,0,Public
122,2:01.03,Olha LYAKHOVA,UKR,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1144,800m,NA,NA,NA,NA
123,2:01.03,Nina VUKOVIĆ,CRO,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1144,800m,85542284,0,0,Public
124,2:01.04,Angel PICCIRILLO,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1169,800m,24241461,0,8,Public
125,2:01.05,Agathe GUILLEMOT,FRA,"Stade des Maradas, Cergy-Pontoise (FRA)",12 MAY 2024,1144,800m,68764297,548,48,Public
126,2:01.06,Laura PELLICORO,ITA,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1143,800m,NA,NA,NA,NA
127,2:01.08,Raevyn ROGERS,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1143,800m,NA,NA,NA,NA
128,2:01.13,Kate MITCHELL,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1142,800m,49462685,515,86,Public
129,2:01.15,Malin HOELSVEEN,NOR,"Bislett Stadion, Oslo (NOR)",18 JUN 2024,1142,800m,71114244,10,0,Public
130,2:01.16,Lucia PINACCHIO,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",30 JUN 2024,1142,800m,115067841,725,1,Public
131,2:01.16,KM. CHANDA,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1142,800m,83712868,2,0,Private
132,2:01.18,Elle ST. PIERRE,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1141,800m,NA,NA,NA,NA
133,2:01.20,Sabrina SOUTHERLAND,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1141,800m,NA,NA,NA,NA
134,2:01.20,Alison ANDREWS-PAUL,NZL,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1141,800m,47869432,291,116,Public
135,2:01.21,Grace VANS AGNEW,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1141,800m,NA,NA,NA,NA
136,2:01.23,Sylvia CHELANGAT,KEN,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1140,800m,NA,NA,NA,NA
137,2:01.23,Maeliss TRAPEAU,FRA,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1140,800m,41568719,1015,33,Private
138,2:01.24,Eugenie MOREL,FRA,"Stade Omnisports Schlossberg, Forbach (FRA)",26 MAY 2024,1140,800m,125888369,23,6,Public
139,2:01.32,Yolanda NGARAMBE,SWE,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1139,800m,101704901,285,47,Public
140,2:01.33,Mariya PROKHORETS,RUS,"Salyut Geraklion Stadion, Moskva (RUS)",27 JUL 2024,1139,800m,NA,NA,NA,NA
141,2:01.36,Assia RAZIKI,MAR,"Stade Delort, Marseille (FRA)",22 MAY 2024,1138,800m,NA,NA,NA,NA
142,2:01.36,Kendra COLEMAN,USA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1138,800m,99876148,160,8,Public
143,2:01.36,Nigina TUKHTAYEVA,RUS,"Salyut Geraklion Stadion, Moskva (RUS)",27 JUL 2024,1138,800m,NA,NA,NA,NA
144,2:01.37,Pavla ŠTOUDKOVÁ,CZE,"Stadion Mládeže, Zlín (CZE)",30 JUN 2024,1138,800m,48314898,0,0,Public
145,2:01.38,Margarita KOCZANOWA,POL,"Morton Stadium, Santry, Dublin (IRL)",04 MAY 2024,1138,800m,NA,NA,NA,NA
146,2:01.38,Gracie MORRIS,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1138,800m,119591951,704,36,Private
147,2:01.41,Khahisa MHLANGA,GBR,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1137,800m,NA,NA,NA,NA
148,2:01.42,Marissa DAMINK,NED,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1137,800m,18196031,657,38,Public
149,2:01.42,Salomé AFONSO,POR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1137,800m,97366394,0,0,Public
150,2:01.42,Eleanor FULTON,USA,"Moselstadion, Trier (GER)",06 SEP 2024,1137,800m,68771264,1334,83,Public
151,2:01.43,Adrianna TOPOLNICKA,POL,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1137,800m,115739156,95,0,Public
152,2:01.45,Martyna GALANT,POL,"Forest Stadium, Sopot (POL)",16 JUN 2024,1136,800m,105617833,307,14,Private
153,2:01.49,Danielle JONES,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1136,800m,19613002,929,853,Public
154,2:01.50,Julia CHEROT,FRA,"Stade Omnisports Schlossberg, Forbach (FRA)",26 MAY 2024,1136,800m,133044643,0,0,Public
155,2:01.53,Kaela EDWARDS,USA,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1135,800m,41318857,42,6,Public
156,2:01.54,Veronica VANCARDO,SUI,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1135,800m,NA,NA,NA,NA
157,2:01.56,Jenna BROMELL,IRL,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1134,800m,NA,NA,NA,NA
158,2:01.56,Patricia SILVA,POR,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1134,800m,25812396,0,577,Public
159,2:01.56,Brenna DETRA,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1134,800m,110938952,0,0,Public
160,2:01.59,Sahily DIAGO MESA,CUB,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1134,800m,106291717,0,0,Public
161,2:01.61,Michaela MEYER,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1134,800m,49179005,243,1,Public
162,2:01.62,Berenice CLEYET-MERLE,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1133,800m,47005372,2166,141,Public
163,2:01.62,Valery TOBIAS,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1133,800m,NA,NA,NA,NA
164,2:01.63,Charlene LIPSEY,USA,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1133,800m,NA,NA,NA,NA
165,2:01.64,Jaqueline Beatriz WEBER,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1133,800m,NA,NA,NA,NA
166,2:01.66,Judy Jepkoech KOSGEI,KEN,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1133,800m,NA,NA,NA,NA
167,2:01.66,Josefine Tomine ERIKSEN,NOR,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1133,800m,NA,NA,NA,NA
168,2:01.67,Sofia ENNAOUI,POL,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1133,800m,NA,NA,NA,NA
169,2:01.69,Abigail IVES,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1132,800m,NA,NA,NA,NA
170,2:01.69,Ellie SANFORD,AUS,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1132,800m,111930546,409,3,Private
171,2:01.72,Makayla CLARK,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1132,800m,61530427,50,4,Public
172,2:01.72,Cory Ann MCGEE,USA,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1132,800m,NA,NA,NA,NA
173,2:01.76,Caroline BREDLINGER,AUT,"Ataköy Arena, Istanbul (TUR) (i)",10 FEB 2024,1157,800m,NA,NA,NA,NA
174,2:01.79,Georgia-Maria DESPOLLARI,GRE,"Ethnikou Stadiou, Kalamata (GRE)",12 MAY 2024,1130,800m,NA,NA,NA,NA
175,2:01.79,Lauren TOLBERT,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1130,800m,56514599,9,0,Public
176,2:01.88,Hongjiao WU,CHN,"Kuishan Sports Center, Rizhao (CHN)",30 JUN 2024,1129,800m,NA,NA,NA,NA
177,2:01.88,Chloe FOERSTER,USA,"Kimpisen yleisurheilukenttä, Lappeenranta (FIN)",17 JUL 2024,1129,800m,108118653,513,0,Private
178,2:01.90,Jana Marie BECKER,GER,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1128,800m,54111777,0,1,Public
179,2:01.93,Christina ARAGON,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1128,800m,22996074,68,6,Public
180,2:01.93,Ayano SHIOMI,JPN,"Aoba Park Athletic Field, Chitose (JPN)",20 JUL 2024,1128,800m,NA,NA,NA,NA
181,2:01.94,Lucia STURM,GER,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1128,800m,48159205,7,0,Public
182,2:01.97,Melissa RIGGINS,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1127,800m,86130127,1076,70,Private
183,2:01.98,Imogen BARRETT,AUS,"AIS Athletics Track, Canberra (AUS)",02 MAR 2024,1127,800m,55765129,14,3,Private
184,2:01.98,Danae RIVERS,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1127,800m,45867052,0,0,Public
185,2:01.99,Déborah RODRÍGUEZ,URU,"Woodside Stadium, Watford (GBR)",08 JUN 2024,1127,800m,149147297,2,0,Public
186,2:02.01,Verena MEISL,GER,"Moselstadion, Trier (GER)",06 SEP 2024,1127,800m,85752784,6,0,Private
187,2:02.02,Olga RODIOSHKINA,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1153,800m,NA,NA,NA,NA
188,2:02.02,Elise VANDERELST,BEL,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1126,800m,65601344,62,0,Private
189,2:02.03,Jaylah HANCOCK-CAMERON,AUS,"LAZ Wien, Wien (AUT)",22 JUN 2024,1126,800m,NA,NA,NA,NA
190,2:02.04,Natalіia KROL,UKR,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1126,800m,NA,NA,NA,NA
191,2:02.05,Stephanie BROKAW,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2024,1152,800m,47735255,999,39,Public
