,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
0,1:41.11,Emmanuel WANYONYI,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1295,800m,NA,NA,NA,NA
1,1:41.20,Marco AROP,CAN,"Stade de France, Paris (FRA)",10 AUG 2024,1292,800m,98279354,190,0,Public
2,1:41.46,Djamel SEDJATI,ALG,"Stade Louis II, Monaco (MON)",12 JUL 2024,1284,800m,NA,NA,NA,NA
3,1:41.61,Gabriel TUAL,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1279,800m,45495569,416,251,Private
4,1:41.67,Bryce HOPPEL,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1277,800m,17422250,934,0,Public
5,1:42.04,Mohamed ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",12 JUL 2024,1265,800m,25356686,2148,15,Private
6,1:42.08,Aaron Kemei CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m,NA,NA,NA,NA
7,1:42.08,Wyclife KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m,NA,NA,NA,NA
8,1:42.27,Ben PATTISON,GBR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1258,800m,32795912,2999,94,Public
9,1:42.43,Eliott CRESTAN,BEL,"Stade Charléty, Paris (FRA)",07 JUL 2024,1253,800m,46787646,690,1,Public
10,1:42.66,Koitatoi KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1246,800m,NA,NA,NA,NA
11,1:42.82,Tshepiso MASALELA,BOT,"Stade de France, Paris (FRA)",10 AUG 2024,1241,800m,NA,NA,NA,NA
12,1:43.13,Andreas KRAMER,SWE,"Stade Louis II, Monaco (MON)",12 JUL 2024,1231,800m,11680166,0,768,Public
13,1:43.48,Pieter SISK,BEL,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1220,800m,28540939,530,1,Public
14,1:43.50,Max BURGIN,GBR,"Stade de France, Paris (FRA)",09 AUG 2024,1220,800m,56555322,40,0,Private
15,1:43.64,Hobbs KESSLER,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1215,800m,56168841,398,1,Public
16,1:43.73,Brandon MILLER,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1212,800m,9559332,2677,106,Public
17,1:43.74,Alex Ngeno KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1212,800m,NA,NA,NA,NA
18,1:43.75,Catalin TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1212,800m,74438654,0,0,Public
19,1:43.79,Azeddine HABZ,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1211,800m,19780474,3508,32,Public
20,1:43.80,Josh HOEY,USA,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1210,800m,138930070,0,0,Public
21,1:43.94,Kethobogile HAINGURA,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1206,800m,NA,NA,NA,NA
22,1:43.95,Benjamin ROBERT,FRA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1206,800m,33362910,1175,50,Public
23,1:44.02,Isaiah JEWETT,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1204,800m,98117284,0,0,Private
24,1:44.04,James PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",25 MAY 2024,1203,800m,2988843,3592,109,Public
25,1:44.10,Jake WIGHTMAN,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1201,800m,12458530,0,0,Public
26,1:44.10,Festus LAGAT,KEN,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1201,800m,145188372,200,0,Public
27,1:44.11,Peyton CRAIG,AUS,"Stade de France, Paris (FRA)",09 AUG 2024,1201,800m,43261986,527,399,Public
28,1:44.13,Yanis MEZIANE,FRA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1200,800m,109157311,378,1,Private
29,1:44.22,Edmund DU PLESSIS,RSA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1197,800m,69786316,1555,13,Private
30,1:44.25,Corentin LE CLEZIO,FRA,"LAZ Wien, Wien (AUT)",22 JUN 2024,1196,800m,23682243,470,6,Public
31,1:44.32,Jonah KOECH,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1194,800m,27987275,0,0,Public
32,1:44.32,Elliot GILES,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1194,800m,54348133,0,45,Public
33,1:44.37,Mohamed Ali GOUANED,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1193,800m,148029050,536,0,Public
34,1:44.41,Adrián BEN,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1192,800m,7832255,565,3540,Private
35,1:44.44,Abraham ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1191,800m,61703144,0,66,Private
36,1:44.46,Sam WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1190,800m,845089,13,6,Public
37,1:44.49,Elvin Josué CANALES,HON,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1189,800m,NA,NA,NA,NA
38,1:44.53,Mark ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1188,800m,32442145,4,1060,Public
39,1:44.55,Slimane MOULA,ALG,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1187,800m,78844456,7,0,Public
40,1:44.57,Jose MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",29 JUN 2024,1187,800m,85505855,0,0,Public
41,1:44.57,Tobias GRØNSTAD,NOR,"Stade de France, Paris (FRA)",08 AUG 2024,1187,800m,29981174,0,0,Public
42,1:44.58,Isaiah HARRIS,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1186,800m,50116782,1566,109,Public
43,1:44.60,Abubaker Haydar ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",21 APR 2024,1186,800m,NA,NA,NA,NA
44,1:44.62,Abdelati EL GUESSE,MAR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1185,800m,NA,NA,NA,NA
45,1:44.65,Shane COHEN,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1184,800m,50765671,1797,34,Public
46,1:44.70,Ryan CLARKE,NED,"Stade de France, Paris (FRA)",08 AUG 2024,1183,800m,4298711,1818,6,Public
47,1:44.71,Jesus Tonatiu LOPEZ,MEX,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1182,800m,NA,NA,NA,NA
48,1:44.71,Alex AMANKWA,GHA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1182,800m,80788954,0,1,Public
49,1:44.73,Luke BOYES,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1182,800m,55132405,1523,103,Private
50,1:44.73,Paul ANSELMINI,FRA,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1182,800m,NA,NA,NA,NA
51,1:44.76,John RIVERA,PUR,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1181,800m,8525340,1039,603,Private
52,1:44.79,Elias NGENY,KEN,"Nyayo National Stadium, Nairobi (KEN)",06 MAR 2024,1180,800m,61941233,803,0,Public
53,1:44.79,Callum DODDS,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1180,800m,27140566,14,1,Public
54,1:44.79,Moad ZAHAFI,MAR,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1180,800m,NA,NA,NA,NA
55,1:44.80,Clayton MURPHY,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1180,800m,41072820,268,2,Public
56,1:44.80,Yusuf BIZIMANA,GBR,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1180,800m,9783942,0,0,Public
57,1:44.80,Ko OCHIAI,JPN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1180,800m,47140760,258,23,Public
58,1:44.82,Jakub DUDYCHA,CZE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1179,800m,106725990,0,0,Public
59,1:44.83,Noah KIBET,KEN,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1179,800m,73789650,0,0,Public
60,1:44.83,Laban CHEPKWONY,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1179,800m,NA,NA,NA,NA
61,1:44.85,Tony VAN DIEPEN,NED,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1178,800m,18055756,656,56,Public
62,1:44.89,Saúl ORDÓÑEZ,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1177,800m,21556146,528,1,Private
63,1:44.90,Ferguson Cheruiyot ROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1176,800m,NA,NA,NA,NA
64,1:44.91,Thomas RANDOLPH,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1176,800m,64061776,2,182,Public
65,1:44.98,Mariano GARCÍA,ESP,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1174,800m,30576718,808,7,Public
66,1:44.99,Brannon KIDDER,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1174,800m,NA,NA,NA,NA
67,1:45.00,Álvaro DE ARRIBA,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1173,800m,56749810,52,0,Private
68,1:45.06,Peter BOL,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1172,800m,26290042,1498,8,Public
69,1:45.06,Wes FERGUSON,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1172,800m,49565163,1679,29,Public
70,1:45.07,Marino BLOUDEK,CRO,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1171,800m,NA,NA,NA,NA
71,1:45.10,Felix MUTHIANI,KEN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1170,800m,NA,NA,NA,NA
72,1:45.11,Isaac NADER,POR,"Stade Delort, Marseille (FRA)",22 MAY 2024,1170,800m,92055776,30,324,Public
73,1:45.11,Simone BARONTINI,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1170,800m,97145909,0,0,Public
74,1:45.12,Reece SHARMAN-NEWELL,GBR,"Paula Radcliffe Stadium, Loughborough (GBR)",22 JUN 2024,1170,800m,63876296,1949,5,Private
75,1:45.12,Tinoda MATSATSA,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1170,800m,43648976,1172,8,Public
76,1:45.13,Bartosz KITLIŃSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1169,800m,137045343,0,0,Public
77,1:45.17,Tibo DE SMET,BEL,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1168,800m,72118148,114,48,Private
78,1:45.22,Edose IBADIN,NGR,"Prince George's Sports and Learning Complex, Landover, MD (USA)",04 JUN 2024,1167,800m,NA,NA,NA,NA
79,1:45.22,Oussama CHERRAD,ALG,"Stade Colette Besson, Dijon (FRA)",05 JUN 2024,1167,800m,105147377,7,20,Public
80,1:45.22,Filip OSTROWSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1167,800m,99277269,830,33,Public
81,1:45.23,Heithem CHENITEF,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",08 JUN 2024,1166,800m,NA,NA,NA,NA
82,1:45.25,Tumo NKAPE,BOT,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1166,800m,NA,NA,NA,NA
83,1:45.26,Francesco PERNICI,ITA,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1166,800m,115774330,0,0,Public
84,1:45.27,Chamar CHAMBERS,PAN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1165,800m,60337129,213,0,Public
85,1:45.27,Alex BOTTERILL,GBR,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1165,800m,5681255,2020,42,Private
86,1:45.27,Ebrahim ALZOFAIRI,KUW,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1165,800m,NA,NA,NA,NA
87,1:45.27,Mateusz BORKOWSKI,POL,"Stade de France, Paris (FRA)",08 AUG 2024,1165,800m,15305175,179,601,Public
88,1:45.28,Rynard SWANEPOEL,RSA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1165,800m,19679748,0,0,Public
89,1:45.29,Navasky ANDERSON,JAM,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1165,800m,129824029,0,0,Public
90,1:45.33,Luke MCCANN,IRL,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1163,800m,36760710,393,14,Public
91,1:45.34,Mohamed BELBACHIR,ALG,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1163,800m,105410004,4,0,Private
92,1:45.34,Vincent CRISP,USA,"Franklin Field, Philadelphia, PA (USA)",01 JUN 2024,1163,800m,16717382,0,0,Public
93,1:45.34,Samuel CHAPPLE,NED,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1163,800m,29184441,1556,393,Public
94,1:45.36,Handal ROBAN,VIN,"Franklin Field, Philadelphia, PA (USA)",29 JUN 2024,1162,800m,93795541,40,0,Public
95,1:45.37,Daniel ROWDEN,GBR,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1162,800m,12947884,23,16,Public
96,1:45.37,Justin DAVIES,GBR,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1162,800m,49144166,1678,26,Private
97,1:45.38,Ramon WIPFLI,SUI,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1162,800m,NA,NA,NA,NA
98,1:45.40,Nicholas Kiplangat KEBENEI,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1161,800m,NA,NA,NA,NA
99,1:45.40,Darius KIPYEGO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1161,800m,42520906,1435,0,Public
100,1:45.43,Fithawi ZAID,ERI,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1160,800m,NA,NA,NA,NA
101,1:45.45,General Berhanu AYANSA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1160,800m,NA,NA,NA,NA
102,1:45.46,Timothy CHERUIYOT,KEN,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1159,800m,NA,NA,NA,NA
103,1:45.48,Camden MARSHALL,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1159,800m,40305519,234,0,Private
104,1:45.49,Guy LEARMONTH,GBR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1159,800m,NA,NA,NA,NA
105,1:45.49,Thomas MARQUES DE ANDRADE,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1159,800m,146764612,0,0,Public
106,1:45.53,Ethan HUSSEY,GBR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1157,800m,18086418,1547,6,Public
107,1:45.54,Anicet KOZAR,FRA,"Stade Raymond Petit, Tomblaine (FRA)",25 MAY 2024,1157,800m,113105330,0,0,Public
108,1:45.55,Ole Jakob SOLBU,NOR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1157,800m,34827695,1399,167,Public
109,1:45.57,Abel KIPSANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1156,800m,57016481,0,0,Public
110,1:45.57,Tommaso MANISCALCO,ITA,"Campo Sportivo G. Draghicchio, Trieste (ITA)",22 JUN 2024,1156,800m,31406112,2,2,Public
111,1:45.58,Tiarnan CRORKEN,GBR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1156,800m,19479777,2530,4,Public
112,1:45.59,Brad MATHAS,NZL,"Stade Colette Besson, Dijon (FRA)",05 JUN 2024,1156,800m,51646610,833,10,Public
113,1:45.59,Robert DOWNS,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1156,800m,16169397,0,368,Public
114,1:45.60,Robert FARKEN,GER,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1155,800m,112439337,0,0,Public
115,1:45.62,Javier MIRON,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1155,800m,7284423,271,196,Private
116,1:45.63,Colin SAHLMAN,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1154,800m,103119935,0,0,Public
117,1:45.63,Cole HOCKER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1154,800m,94919798,20,0,Public
118,1:45.63,Jack HIGGINS,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1154,800m,61174400,1173,16,Public
119,1:45.66,Dezhu LIU,CHN,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1153,800m,NA,NA,NA,NA
120,1:45.66,Finley MCLEAR,GBR,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1153,800m,64615078,0,0,Public
121,1:45.66,Maciej WYDERKA,POL,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1153,800m,NA,NA,NA,NA
122,1:45.66,Ivan PELIZZA,SUI,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1153,800m,7516857,0,0,Public
123,1:45.67,Filip RAK,POL,"Stade Raymond Petit, Tomblaine (FRA)",25 MAY 2024,1153,800m,2369588,289,1100,Private
124,1:45.69,Oussama EL BOUCHAYBY,MAR,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1152,800m,NA,NA,NA,NA
125,1:45.69,Ruben VERHEYDEN,BEL,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1152,800m,33020384,343,26,Public
126,1:45.69,Cass ELLIOTT,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1152,800m,59137935,276,3,Public
127,1:45.70,Tarees RHODEN,JAM,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1152,800m,151077886,0,0,Public
128,1:45.70,Corentin MAGNOU,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1152,800m,NA,NA,NA,NA
129,1:45.71,Giovanni LAZZARO,ITA,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1152,800m,464414,9,1982,Public
130,1:45.74,Abdellah MOUZLIB,MAR,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1151,800m,NA,NA,NA,NA
131,1:45.74,Matthew ERICKSON,CAN,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1151,800m,61594180,24,0,Public
132,1:45.74,Renier DE VILLIERS,RSA,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1151,800m,19707201,33,15,Public
133,1:45.75,Cillian KIRWAN,IRL,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1151,800m,53067537,454,1,Public
134,1:45.76,Tyrese REID,JAM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1150,800m,147009112,0,0,Public
135,1:45.77,Rick VAN RIEL,NED,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1150,800m,45461045,498,136,Private
136,1:45.78,Kabelo Simon MOHLOSI,RSA,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1150,800m,NA,NA,NA,NA
137,1:45.81,Malik SKUPIN-ALFA,GER,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1149,800m,123333338,0,0,Public
138,1:45.82,Leonardo SANTOS,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",15 MAY 2024,1149,800m,7932092,23,44,Private
139,1:45.83,Sean DOLAN,USA,"Villanova University, Villanova, PA (USA)",11 MAY 2024,1148,800m,40390930,2763,100,Public
140,1:45.85,Tyrice TAYLOR,JAM,"Prince George's Sports and Learning Complex, Landover, MD (USA)",04 JUN 2024,1148,800m,NA,NA,NA,NA
141,1:45.86,Rivaldo MARSHALL,JAM,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",06 APR 2024,1147,800m,NA,NA,NA,NA
142,1:45.86,Abedin MUJEZINOVIĆ,BIH,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1147,800m,78934781,0,0,Public
143,1:45.87,Jordan TERRASSE,FRA,"Stade Pierre Duboeuf, Bron (FRA)",04 JUL 2024,1147,800m,NA,NA,NA,NA
144,1:45.87,Joseph DENG,AUS,"Stade de France, Paris (FRA)",07 AUG 2024,1147,800m,15697869,1460,0,Public
145,1:45.89,Eric HOLT,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1146,800m,34063383,3461,0,Public
146,1:45.89,Patryk SIERADZKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1146,800m,120281317,26,0,Public
147,1:45.91,Amel TUKA,BIH,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1146,800m,49458902,2185,0,Private
148,1:45.93,Zakary MAMA-YARI,CAN,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1145,800m,74166165,48,0,Public
149,1:45.93,Sam ELLIS,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1145,800m,18163861,975,5,Private
150,1:45.93,Louey OUERRAT,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",30 JUN 2024,1145,800m,113857009,0,0,Public
151,1:45.93,Youssef BENZAMIA,FRA,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1145,800m,60155357,1841,1,Public
152,1:45.94,Josh KERR,GBR,"Hayward Field, Eugene, OR (USA)",20 APR 2024,1145,800m,18748153,1017,219,Public
153,1:45.94,CJ JONES,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1145,800m,23848902,2,1179,Public
154,1:45.97,Collins KIPRUTO,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1144,800m,76724706,0,0,Public
155,1:45.97,Mehdi YANOURI,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1144,800m,74582488,363,0,Private
156,1:45.97,Samuel PIHLSTRÖM,SWE,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1144,800m,16817744,2667,165,Public
157,1:46.00,Ibrahim Abass M CHOUT,QAT,"Stade C. Vandeveegaete, Tourcoing (FRA)",26 JUN 2024,1143,800m,NA,NA,NA,NA
158,1:46.00,Luciano FIORE,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1143,800m,52774592,2076,20,Public
159,1:46.01,Kelvin Kimtai LOTI,KEN,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1143,800m,NA,NA,NA,NA
160,1:46.01,Tom DRADRIGA,UGA,"Stade Omnisport de JAPOMA, Douala (CMR)",23 JUN 2024,1143,800m,NA,NA,NA,NA
161,1:46.04,Mohamed ABOUETTAHERY,MAR,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1142,800m,NA,NA,NA,NA
162,1:46.04,Niels LAROS,NED,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1142,800m,29900318,897,15,Public
163,1:46.06,Anass ESSAYI,MAR,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1141,800m,NA,NA,NA,NA
164,1:46.09,Matt WISNER,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1140,800m,23205296,1797,7,Public
165,1:46.09,Jan TESAŘ,CZE,"Atletický stadion Turnov, Turnov (CZE)",03 SEP 2024,1140,800m,24938253,38,381,Private
166,1:46.10,Efrem MEKONNEN,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1140,800m,NA,NA,NA,NA
167,1:46.11,Joseph WIGFIELD,GBR,"Bracknell Leisure Centre, Bracknell (GBR)",19 JUN 2024,1140,800m,NA,NA,NA,NA
168,1:46.11,George MILLS,GBR,"LAZ Wien, Wien (AUT)",22 JUN 2024,1140,800m,2776056,31,1946,Public
169,1:46.12,Parvej KHAN,IND,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1140,800m,64783137,415,1,Public
170,1:46.12,Hazem MIAWAD,EGY,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1140,800m,49509743,1816,32,Public
171,1:46.13,Hugo HOUYEZ,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1139,800m,27198009,1644,18,Public
172,1:46.14,Samuel TANNER,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",24 FEB 2024,1139,800m,3593920,683,416,Public
173,1:46.15,Marius PROBST,GER,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1139,800m,30575335,325,101,Private
174,1:46.16,Samuel PRAKEL,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1138,800m,NA,NA,NA,NA
175,1:46.17,Darius SMALLWOOD,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1138,800m,NA,NA,NA,NA
176,1:46.18,Kyle LANGFORD,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1138,800m,3943693,115,530,Public
177,1:46.20,Marvin HEINRICH,GER,"TSV Stadion, Pfungstadt (GER)",19 JUN 2024,1137,800m,45123138,0,0,Public
178,1:46.21,Eduardo RIBEIRO,BRA,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1137,800m,12023796,0,363,Public
179,1:46.21,Benjamin ALLEN,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1137,800m,43503052,4000,30,Public
180,1:46.22,James SEELIGER,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1137,800m,13233183,449,12,Public
181,1:46.22,Yukichi ISHII,JPN,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1137,800m,103535340,513,1,Public
182,1:46.22,Mersimoi KASAHUN,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1137,800m,NA,NA,NA,NA
183,1:46.23,Quamel PRINCE,GUY,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1136,800m,NA,NA,NA,NA
184,1:46.23,Nathan GREEN,USA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1136,800m,3624317,146,4,Public
185,1:46.23,Konstantin KHOLMOGOROV,RUS,"Salyut Geraklion Stadion, Moskva (RUS)",27 JUL 2024,1136,800m,NA,NA,NA,NA
186,1:46.25,Jack LUNN,AUS,"AIS Athletics Track, Canberra (AUS)",26 JAN 2024,1136,800m,46128288,1372,2,Public
187,1:46.26,Jens MERGENTHALER,GER,"TSV Stadion, Pfungstadt (GER)",14 AUG 2024,1135,800m,15091944,767,0,Private
188,1:46.28,Luis OBERBECK,GER,"TSV Stadion, Pfungstadt (GER)",25 MAY 2024,1135,800m,NA,NA,NA,NA
