Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
AARON AHL,4941.9290852,109.8206463377778,370.0961111111111,8.224358024691357,0.0,0.0,0.0,Aaron Ahl,CAN,Male,8:28.00,3000m Steeple,1,4.493339803917481,45,26712504
ABBY NICHOLS,3462.012208,76.93360462222222,274.9291666666667,6.109537037037037,0.0,0.0,0.6877777777777778,Abby Nichols,USA,Female,4:12.78|15:03.17,1500m|5000m,2,4.764786779746676,45,49240561
ABDIHAMID NUR,44.7759194,0.995020431111111,2.8666666666666667,0.0637037037037037,0.0,0.0,0.0,Abdihamid Nur,USA,Male,3:35.63|13:03.17|27:17.28,1500m|5000m|10000m,3,3.8413504916216192,45,44007546
ABDURRAHMAN GEDIKLIOĞLU,2389.306631,53.09570291111111,127.6425,2.8365,0.0,0.0,0.0,Abdurrahman Gediklioğlu,TUR,Male,3:39.13,1500m,1,3.2053441365098694,45,29394594
ABEL TEFFRA,1887.0959906,41.93546645777778,133.07472222222222,2.957216049382716,0.1844444444444444,0.0,0.0,Abel Teffra,USA,Male,3:36.52,1500m,1,4.231095489103698,45,74623854
ADAM CLARKE,1084.66,20.86,98.67,1.9,140.76,0.0,0.0,Adam Clarke,GBR,Male,1:01:54,Half,1,5.46,52,985439
ADAM FOGG,4889.67,94.03,343.29,6.6,0.0,0.0,0.0,Adam Fogg,GBR,Male,3:34.37|13:17.08,1500m|5000m,2,4.21,52,4814818
ADAM SPENCER,4087.5304792,90.83401064888888,297.2605555555556,6.60579012345679,0.0,0.0,0.0,Adam Spencer,AUS,Male,1:47.13|3:34.45,800m|1500m,2,4.363425159541336,45,46643128
AGATHE DELAHOUTRE,1923.7084756,42.74907723555555,159.82222222222222,3.551604938271605,0.0,0.0,0.0,Agathe Delahoutre,FRA,Female,2:02.97,800m,1,4.984816283216949,45,48454776
AHMED OUHDA,132.2,2.937777777777778,8.526944444444444,0.1894876543209876,0.0,0.0,0.0,Ahmed Ouhda,ITA,Male,28:18.92|2:13:00,10000m|Full,2,3.870020171457388,45,27102390
AIDAN RYAN,1633.8341548,36.30742566222222,114.25888888888888,2.5390864197530862,0.0,0.0,0.0,Aidan Ryan,USA,Male,3:40.17,1500m,1,4.1959787125227095,45,33433081
